weather_condition,temperature,distance,traffic_condition,time_of_day,chosen_mode,reasoning,serialized_query,serialized_with_label
storm,24°C warm,10 km,heavy traffic,07:00 rush hour,car,"Car is best for storms, prioritizing safety and comfort despite rush hour traffic.",Weather is storm with a temperature of 24°C warm. Route distance is 10 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 10 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is car.
clear sky,24°C warm,1 km,light traffic,09:00 morning,bike,Short distance and good weather make bike the most practical and efficient choice.,Weather is clear sky with a temperature of 24°C warm. Route distance is 1 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is clear sky with a temperature of 24°C warm. Route distance is 1 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is bike.
heavy rain,30°C hot,20 km,heavy traffic,18:00 evening rush,car,"Car is best for heavy rain, prioritizing safety and comfort despite rush hour traffic.",Weather is heavy rain with a temperature of 30°C hot. Route distance is 20 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 20 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is car.
clear sky,18°C mild,3 km,no traffic,12:00 midday,bike,Short distance and good weather make bike the most practical and efficient choice.,Weather is clear sky with a temperature of 18°C mild. Route distance is 3 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 18°C mild. Route distance is 3 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is bike.
overcast,30°C hot,15 km,moderate traffic,15:00 afternoon,motorbike,Motorbike is efficient for moderate distance in non-extreme weather and traffic.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
fog,18°C mild,8 km,light traffic,07:00 rush hour,motorbike,"Motorbike is efficient for moderate distance in light traffic, and fog is not an explicit exclusion.",Weather is fog with a temperature of 18°C mild. Route distance is 8 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is fog with a temperature of 18°C mild. Route distance is 8 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
clear sky,35°C very hot,2 km,no traffic,12:00 midday,bike,Short distance and not extreme heat make bike a practical and direct choice.,Weather is clear sky with a temperature of 35°C very hot. Route distance is 2 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 35°C very hot. Route distance is 2 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is bike.
light rain,24°C warm,5 km,moderate traffic,09:00 morning,motorbike,"Motorbike is efficient for this distance in light rain, offering more flexibility than transit.",Weather is light rain with a temperature of 24°C warm. Route distance is 5 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is light rain with a temperature of 24°C warm. Route distance is 5 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
light rain,35°C very hot,15 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is efficient for moderate distance in light rain and moderate traffic during rush hour.,Weather is light rain with a temperature of 35°C very hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 35°C very hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
light drizzle,35°C very hot,0.5 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is most practical for a very short distance in light drizzle when bike is excluded.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
fog,24°C warm,20 km,moderate traffic,00:00 late night,motorbike,"Motorbike is efficient for moderate distance late at night, and fog is not an explicit exclusion.",Weather is fog with a temperature of 24°C warm. Route distance is 20 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is fog with a temperature of 24°C warm. Route distance is 20 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
overcast,35°C very hot,1 km,gridlock,00:00 late night,bike,Short distance and gridlock traffic make bike the most efficient choice.,Weather is overcast with a temperature of 35°C very hot. Route distance is 1 km and traffic is gridlock. Trip starts at 00:00 late night.,Weather is overcast with a temperature of 35°C very hot. Route distance is 1 km and traffic is gridlock. Trip starts at 00:00 late night. Transport mode is bike.
strong wind,35°C very hot,1 km,gridlock,07:00 rush hour,bike,"Short distance and gridlock traffic make bike the most efficient choice, despite strong wind.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 1 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 1 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is bike.
light rain,30°C hot,2 km,light traffic,09:00 morning,motorbike,Motorbike is most practical for a short distance in light rain when bike is excluded.,Weather is light rain with a temperature of 30°C hot. Route distance is 2 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is light rain with a temperature of 30°C hot. Route distance is 2 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
fog,12°C cold,10 km,heavy traffic,15:00 afternoon,motorbike,"Motorbike is efficient for moderate distance in heavy traffic, and fog is not an explicit exclusion.",Weather is fog with a temperature of 12°C cold. Route distance is 10 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is fog with a temperature of 12°C cold. Route distance is 10 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
overcast,38°C extreme heat,30 km,heavy traffic,12:00 midday,car,"Car is best for extreme heat over a longer distance, prioritizing comfort and safety.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is car.
light drizzle,35°C very hot,0.5 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is most practical for a very short distance in light drizzle when bike is excluded.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
strong wind,35°C very hot,5 km,heavy traffic,15:00 afternoon,bike,"Short distance and heavy traffic make bike efficient, and strong wind is not an explicit exclusion.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is bike.
storm,38°C extreme heat,1 km,no traffic,12:00 midday,car,"Car is best for storms and extreme heat, prioritizing safety and comfort regardless of distance.",Weather is storm with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is car.
strong wind,12°C cold,30 km,no traffic,12:00 midday,car,"Car provides comfort and protection from strong wind over a longer distance, especially with no traffic.",Weather is strong wind with a temperature of 12°C cold. Route distance is 30 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is strong wind with a temperature of 12°C cold. Route distance is 30 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is car.
light drizzle,24°C warm,0.5 km,light traffic,15:00 afternoon,motorbike,"Motorbike is practical for short distances, and light drizzle excludes bike.",Weather is light drizzle with a temperature of 24°C warm. Route distance is 0.5 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is light drizzle with a temperature of 24°C warm. Route distance is 0.5 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
